"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","WHEAT - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT - ACRES PLANTED  -  <b>VALUE</b>","WHEAT - ACRES PLANTED  -  <b>CV (%)</b>"
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","62,712,000","","72,168,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","62,761,000","","72,219,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","57,803,000","","69,881,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","69,103,000","","77,041,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","62,189,000","","76,615,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","53,189,000","","65,529,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","55,945,000","","65,829,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","60,688,000","","71,998,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","64,704,000","","75,535,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","66,928,000","","79,213,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","61,390,000","","76,419,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","77,937,000","","86,232,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","80,642,000","","88,251,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","71,125,000","","80,788,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","62,454,000","","71,424,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","56,495,000","","65,989,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","66,686,000","","75,410,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","70,927,000","","80,395,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","69,499,000","","74,900,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","65,368,000","","71,044,000",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","54,148,000","","59,254,000",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","47,303,000","","54,913,000",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","47,685,000","","53,822,000",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,564,000","","48,739,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","47,146,000","","53,450,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","54,765,000","","61,860,000",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","58,353,000","","67,264,000",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,613,000","","54,105,000",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,560,000","","57,361,000",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,762,000","","55,672,000",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","45,506,000","","53,364,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,688,000","","49,274,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","51,571,000","","55,707,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","51,879,000","","54,906,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","51,716,000","","56,706,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","53,047,000","","56,017,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,754,000","","49,843,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,768,000","","60,655,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","47,290,000","","58,246,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","54,356,000","","62,539,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","67,840,000","","78,931,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","71,130,000","","78,645,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","61,873,000","","78,524,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","61,607,000","","71,287,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","75,910,000","","83,905,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","72,418,000","","78,345,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","74,519,000","","78,314,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","67,105,000","","71,578,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","65,167,000","","69,192,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","59,749,000","","66,190,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","51,355,000","","55,984,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,773,000","","53,000,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","55,935,000","","62,707,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","53,273,000","","61,820,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","52,669,000","","62,802,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","69,197,000","","78,981,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","64,169,000","","80,814,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,125,000","","73,970,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","51,305,000","","69,611,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,347,000","","64,064,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,424,000","","69,009,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","57,851,000","","66,281,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","57,704,000","","66,463,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","62,637,000","","67,559,000",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","63,392,000","","67,177,000",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","59,226,000","","71,152,000",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","59,628,000","","65,661,000",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","56,616,000","","60,712,000",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","52,443,000","","61,738,000",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","52,463,000","","55,706,000",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","56,920,000","","64,590,000",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","61,397,000","","67,163,000",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","64,566,000","","67,681,000",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","62,358,000","","67,977,000",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","73,700,000","","77,440,000",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","61,068,000","","",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","46,787,000","","",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","53,510,000","","",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","60,303,000","","",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","55,613,000","","",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","52,012,000","","",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","48,413,000","","",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,894,000","","",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","45,793,000","","",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","44,262,000","","",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","45,102,000","","",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","44,139,000","","",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","46,230,000","","",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","46,306,000","","",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,155,000","","",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","48,456,000","","",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","46,244,000","","",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","50,847,000","","",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","49,203,000","","",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","52,342,000","","",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","50,506,000","","",""
"SURVEY","1897","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,413,000","","",""
"SURVEY","1896","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","40,828,000","","",""
"SURVEY","1895","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","38,998,000","","",""
"SURVEY","1894","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","40,167,000","","",""
"SURVEY","1893","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","40,790,000","","",""
"SURVEY","1892","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","42,979,000","","",""
"SURVEY","1891","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","41,090,000","","",""
"SURVEY","1890","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,686,000","","",""
"SURVEY","1889","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,098,000","","",""
"SURVEY","1888","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","34,969,000","","",""
"SURVEY","1887","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,873,000","","",""
"SURVEY","1886","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,312,000","","",""
"SURVEY","1885","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","35,095,000","","",""
"SURVEY","1884","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","38,485,000","","",""
"SURVEY","1883","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","35,587,000","","",""
"SURVEY","1882","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,496,000","","",""
"SURVEY","1881","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,795,000","","",""
"SURVEY","1880","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","38,096,000","","",""
"SURVEY","1879","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","35,347,000","","",""
"SURVEY","1878","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","33,379,000","","",""
"SURVEY","1877","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","27,963,000","","",""
"SURVEY","1876","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","28,283,000","","",""
"SURVEY","1875","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","28,382,000","","",""
"SURVEY","1874","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","27,310,000","","",""
"SURVEY","1873","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","24,866,000","","",""
"SURVEY","1872","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","22,962,000","","",""
"SURVEY","1871","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","22,230,000","","",""
"SURVEY","1870","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","20,945,000","","",""
"SURVEY","1869","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","21,194,000","","",""
"SURVEY","1868","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","19,140,000","","",""
"SURVEY","1867","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","16,738,000","","",""
"SURVEY","1866","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","15,408,000","","",""
